# Source: HSE PCRS Annual Reporting Portal (public, no login required)
# https://www.sspcrs.ie/portal/annual-reporting/report/pharmacy -> "Top 100 Prescribing Products" (Monthly), Scheme Type = GMS
# Collected manually on 2026-07-29. Full 8 years available on the portal (Jan 2016 - Dec 2023), all 12 months
# each year, for the Republic of Ireland (GMS scheme only) - NOT this pharmacy's own sales. Used to derive both
# a relative demand weight between drugs AND a real month-of-year seasonal index per drug, averaged across all
# 8 years (see app/pcrs.py) - not a single year's noise.
# A handful of 2016-2017 months show fewer than 15 drugs - some simply weren't in the GMS top-100 that early.
# Amoxicillin also drops out of several mid-summer months most years (antibiotic prescribing dips then).
# These gaps are left absent rather than guessed at; app/pcrs.py falls back to a flat 1.0 multiplier for them.
year_month,product_name,prescribing_frequency
201601,Atorvastatin,146970
201601,Levothyroxine Sodium,130052
201601,Esomeprazole,96068
201601,Paracetamol,116595
201601,Acetylsalicylic Acid,175596
201601,Bisoprolol,96849
201601,Rosuvastatin,65486
201601,Salbutamol (Inhaled),97190
201601,Pantoprazole,56938
201601,Amlodipine,65593
201601,Folic Acid,38393
201601,Ramipril,60979
201601,Amoxicillin,51869
201602,Atorvastatin,145147
201602,Levothyroxine Sodium,129685
201602,Esomeprazole,95065
201602,Paracetamol,116857
201602,Acetylsalicylic Acid,173022
201602,Bisoprolol,95915
201602,Rosuvastatin,64478
201602,Salbutamol (Inhaled),94311
201602,Pantoprazole,56117
201602,Amlodipine,64933
201602,Folic Acid,36941
201602,Ramipril,60403
201602,Amoxicillin,48514
201603,Atorvastatin,152416
201603,Levothyroxine Sodium,136340
201603,Esomeprazole,99962
201603,Paracetamol,119536
201603,Acetylsalicylic Acid,180313
201603,Bisoprolol,100841
201603,Rosuvastatin,67784
201603,Salbutamol (Inhaled),95175
201603,Pantoprazole,59049
201603,Amlodipine,68574
201603,Folic Acid,39406
201603,Ramipril,63704
201603,Amoxicillin,44475
201604,Atorvastatin,151323
201604,Levothyroxine Sodium,136675
201604,Esomeprazole,100162
201604,Paracetamol,116438
201604,Acetylsalicylic Acid,178309
201604,Bisoprolol,99929
201604,Rosuvastatin,67613
